Id;Name;Name Short;Nick Name;Abbreviation;Nation;Division;Last Division;Reserve Division;Reputation;Year Founded;Cash;Player Budget;Attendance;Min Attendance;Max Attendance;Stadium;Practice Facilities;Foreground Colour 1;Background Colour 1;Trim Colour 1;Foreground Colour 2;Background Colour 2;Trim Colour 2;Foreground Colour 3;Background Colour 3;Trim Colour 3;Favourite Staff 1;Favourite Staff 2;Favourite Staff 3;Disliked Staff 1;Disliked Staff 2;Disliked Staff 3;Rival 1;Rival 2;Rival 3;
923;Pyhäjärven Pohti;PyPo;---;PPO;Finland;Finnish 2nd Div;---;Second Div East Finland;1498;1934;0;0;168;225;5618;Pyhäjärven jäähalli;Pyhäjärven jäähalli;Black;Yellow 1;Yellow 1;Black;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
924;Haapaveden Urheilijat;HaU;---;HU;Finland;Fin 3rd Div;Fin 3rd Div;Third Div North;1500;0;0;0;562;225;5905;Haapavedan jähalli;Haapavedan jähalli;White;Blue 3;Red 1;Blue 3;White;Red 1;Black;White;White;---;---;---;---;---;---;Oulaisten Kiekko-Haukat;---;---;
925;Seinäjoen Kiekko B-Jrs;S-Kiekko B-Jrs;---;SEIBJ;Finland;Fin B-Jr Second;Finnish Jrs;Fin B-Jr Second;500;1979;0;37500;250;75;5700;Seinäjoen jäähalli;Seinäjoen jäähalli;Yellow 1;Red 1;Blue 1;Blue 1;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
926;VG-62 Naantali A-Jrs;VG-62 Naantali A-Jrs;VG62;VG62A;Finland;Fin A-Jr Second;Finnish Jrs;Fin A-Jr Second;500;1962;0;37500;250;75;5256;Kuparivuoren jäähalli;Kuparivuoren jäähalli;NHL? Yellow 2;Black;Red 1;Black;NHL? Yellow 2;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
927;Kontiolahden Kajastus;KAJA;---;KKA;Finland;Finnish 2nd Div;Finnish 2nd Div;Second Div East Finland;1497;0;0;0;562;225;5440;Kontiolahti Ice Hall;Kontiolahti Ice Hall;Red 1;White;Yellow 1;Red 1;Black;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
928;Likolammen Tiikerit;LiTi;---;LT;---;---;Finnish Lower Leagues;---;1500;0;0;0;562;225;5343;Valkealan jäähalli;Valkealan jäähalli;White;Orange 1;Black;Black;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
929;JYP-Akatemia;JYP-Akatemia;---;JYPA;Finland;Suomi Division;Mestis;Suomi Division;2491;1993;0;106491;2490;120;4500;Synergia-areena;Synergia-areena;White;Black;Red 1;Black;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
930;Leksands IF J20;Leksand J20;---;LIF;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;33750;341;400;5481;Tegera Arena;Tegera Arena;White;Blue 1;Blue 1;Blue 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
931;Brynäs IF J20;Brynäs J20;---;BIF;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;33750;350;400;5309;Gavlerinken Arena;Gavlerinken Arena;Red 1;Black;Yellow 1;Black;White;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
932;Djurgårdens IF J20;Djurgården J20;---;DIF;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;33750;302;400;5617;Hovet;Hovet;Red 2;Blue Navy Dark;NHL? Yellow;Blue Navy Dark;White;Red 2;Black;White;White;---;---;---;---;---;---;AIK Hockey;---;---;
933;Frölunda HC J20;Frölunda J20;---;VF;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2500;0;0;33750;236;625;5626;Frölundaborg;Frölundaborg;White;Red 1;Green 2;Red 1;White;Green 2;Black;White;White;---;---;---;---;---;---;---;---;---;
934;MODO Hockey J20;MODO J20;---;MODO;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;3430;0;0;33750;211;1225;6386;Fjällräven Center;Fjällräven Center;Black;Red 1;Green 1;Red 1;White;Green 1;Black;White;White;---;---;---;---;---;---;---;---;---;
935;HV71 J20;HV71 J20;---;HV71;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;33750;368;400;5009;Kinnarps Arena;Kinnarps Arena;Yellow 1;Blue 1;White;Blue 1;White;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
936;Linköpings HC J20;Linköping J20;---;LHC;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;33750;223;400;5400;Stångebro Ishall;Stångebro Ishall;White;Blue 1;Blue 1;Blue 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
937;Luleå HF J20;Luleå J20;---;LHF;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;27000;233;400;5489;Coop Arena;Coop Arena;Black;Red 1;Yellow 1;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
938;IF Malmö Redhawks J20;Malmö J20;---;MIF;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;33750;180;400;5383;Malmö Arena;Malmö Arena;Black;Red 1;White;Red 1;Black;White;Black;White;White;---;---;---;---;---;---;---;---;---;
939;Södertälje SK J20;Södertälje J20;---;SSK;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;33750;223;400;5682;AXA Sports Center;AXA Sports Center;Black;Red 2;White;Black;White;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
940;Timrå IK J20;Timrå J20;---;TIK;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;36000;203;400;5367;E.ON Arena;E.ON Arena;White;Red 1;Red 1;Red 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
941;Färjestads BK J18;Färjestad J18;---;FBK;Sweden;J18 Elit;---;J18 Elit;1800;0;0;37500;810;324;5792;Löfbergs Lila Arena;Löfbergs Lila Arena;White;NHL? Dark Green;Gold;NHL? Dark Green;White;Gold;Black;White;White;---;---;---;---;---;---;---;---;---;
942;Ludvika HC;Ludvika;---;LUD;Sweden;Lower Divisions;---;Lower Divisions;2095;0;0;90000;810;324;5789;---;---;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
943;Avesta BK;Avesta;---;AVE;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5244;Avesta Ishall;Avesta Ishall;White;Blue 3;Red 2;Blue 3;White;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
944;Nacka HK;Nacka;---;NHK;Sweden;First Division;---;First Division D;1500;0;0;36000;101;225;5684;---;---;White;Blue 2;Black;Black;White;Blue 2;Black;White;White;---;---;---;---;---;---;---;---;---;
945;IK Tälje;Tälje;---;TÄL;Sweden;Lower Divisions;---;Lower Divisions;2035;0;0;90000;810;324;5970;---;---;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
946;Vojens IK;Vojens;---;VOJ;Denmark;Danish First Division;---;Danish First Division;1000;0;0;190000;250;100;5711;---;---;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
947;Limhamn Limeburners;Limhamn;Limeburners;LL;Sweden;Second Division;Third Division;Second Division;1000;0;0;0;250;100;5000;---;---;Yellow 1;Black;Red 1;Black;Yellow 1;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
948;Kuban Krasnodar;Kuban;---;KUB;Russia;Vysshaya Liga;Vysshaya Liga;Division Zapad;3500;2012;0;3026725;3000;2000;3100;Dvorets Sporta Krasnodar;Dvorets Sporta Krasnodar;Blue 1;Green 1;White;Green 1;White;Blue 1;Black;White;White;Vladimir Vorontsov;---;---;---;---;---;---;---;---;
949;IFK Munkfors;Munkfors;---;IFKM;Sweden;Second Division;---;Second Division;1500;0;0;0;562;225;5043;---;---;Blue 3;White;Yellow 1;White;Blue 3;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
950;Hamburg Crocodiles;Crocodiles;---;CRO;Germany;Oberliga;---;Oberliga;2379;0;0;520000;1265;506;5159;---;---;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
951;Lycksele SK;Lycksele;---;LYC;Sweden;Second Division;First Division;Second Division;1500;0;0;0;227;225;5588;---;---;Black;Green 2;White;Green 2;Black;White;Black;White;White;---;---;---;---;---;---;---;---;---;
952;IK Göta;Göta;---;GÖT;---;---;---;---;1;0;0;0;250;75;5023;---;---;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
953;YoIF Matteus-Pojkarna;YoIF Matteus-Pojkarna;---;YOI;---;---;---;---;1;0;0;0;250;75;5424;---;---;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
954;VIK Västerås HK;Västerås;Gulsvart;VIK;Sweden;SHL;SHL;SHL;5183;1939;750000;2546171;5725;2100;5800;ABB Arena Nord;ABB Arena Nord;Yellow 1;Black;White;Black;White;Yellow 1;Black;White;White;---;---;---;---;---;---;Örebro HK;BIK Karlskoga;---;
955;Gnesta IK;Gnesta;GIK;GIK;Sweden;First Division;Second Division;First Division D;1000;0;0;0;250;100;5707;Gnesta Ice Hall;Gnesta Ice Hall;White;Blue 1;Blue 1;Blue 1;White;Blue 1;Black;White;White;---;---;---;---;---;---;---;---;---;
956;Njurunda SK;Njurunda;Red Bulls;NSK;Sweden;Second Division;First Division;Second Division;1997;1971;0;0;1000;400;5100;---;---;Red 2;White;White;White;Red 2;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
957;AIK Härnösand;Härnösand;AIK;AIK;Sweden;Second Division;First Division;Second Division;1500;1957;0;0;174;225;1300;Högslättens ishall;Högslättens ishall;Black;Red 2;White;Black;White;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
958;Nolby IK;Nolby;NIK;NIK;Sweden;Lower Divisions;---;Lower Divisions;1000;0;0;0;250;100;5862;---;---;Blue 1;White;Yellow 2;White;Blue 1;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
959;IF Sundsvall Hockey J20;Sundsvall J20;---;IFS;Sweden;J20 Lower;---;J20 Lower;1491;0;0;0;562;225;5854;Gärdehov;Gärdehov;White;Blue 1;Blue 1;Blue 1;White;White;Black;White;White;---;---;---;---;---;---;Timrå IK J20;---;---;
960;Almtuna IS J20;Almtuna J20;---;AIS;Sweden;J20 Elit;---;J20 Elit;1000;0;0;37500;91;100;5805;Gränbyhallen;Gränbyhallen;White;Red 2;Black;Red 2;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
961;IF Björklöven J20;Björklöven J20;Löven;IFB;Sweden;J20 Elit;---;J20 Elit;2000;0;0;37500;218;400;5528;T3 Center;T3 Center;Yellow 1;Green 2;White;Green 2;White;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
962;Huddinge IK J20;Huddinge J20;---;HUD;Sweden;J20 Elit;---;J20 Elit;1500;0;0;37500;155;225;5909;Björkängshallen;Björkängshallen;White;Red 1;Blue 3;Red 1;White;Blue 3;Black;White;White;---;---;---;---;---;---;---;---;---;
963;AIK Hockey J20;AIK J20;Gnaget Jrs;AIK;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;2000;0;0;33750;202;400;5364;Hovet;Hovet;Yellow 1;Black;White;Black;White;Yellow 1;Black;White;White;---;---;---;---;---;---;Djurgårdens IF;---;Huddinge IK;
964;Skellefteå AIK J20;Skellefteå J20;---;SKE;Sweden;J20 SuperElit;---;J20 SuperElit;2000;0;0;33750;277;400;5575;Skellefteå Kraft Arena;Skellefteå Kraft Arena;Yellow 1;Black;Black;Black;White;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
965;Tegs SK J20;Teg J20;---;TSK;Sweden;J20 Lower;---;J20 Lower;1498;0;0;37500;562;225;5849;T3 Center;T3 Center;Black;Purple 1;White;Purple 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
966;Piteå HC J20;Piteå J20;---;PHC;Sweden;J20 Elit;---;J20 Elit;2000;0;0;37500;1000;400;5812;LF-Arena;LF-Arena;White;Red 1;Black;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
967;IF Vallentuna BK J20;Vallentuna J20;---;IFVBK;Sweden;J20 Lower;---;J20 Lower;1000;0;0;37500;250;100;5684;Vallentuna Ishall;Vallentuna Ishall;White;Red 1;Yellow 1;Red 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
968;Hammarby IF J20;Hammarby J20;---;HIF;Sweden;J20 Lower;---;J20 Lower;2000;0;0;37500;1000;400;5073;Hovet;Hovet;White;Green 1;Yellow 2;Green 1;White;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
969;Ånge IK;Ånge;ÅIK;ÅIK;Sweden;Second Division;First Division;Second Division;1500;0;0;0;562;225;5487;Ånge Ishall;Ånge Ishall;Red 1;Black;Yellow 1;Red 1;White;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
970;Västerviks IK;Västervik;---;VIK;Sweden;First Division;Second Division;First Division East;1500;0;0;27000;562;225;5739;---;---;Blue 1;White;Red 1;White;Blue 1;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
971;Midland;Midland;---;MID;United States;HS-MI;---;HS-MI;1496;0;0;37500;562;225;5462;---;---;White;NHL? Burgundy;Orange 1;NHL? Burgundy;White;Orange 1;Black;White;White;---;---;---;---;---;---;---;---;---;
972;Nyköpings HK J20;Nyköping J20;---;IKN;Sweden;J20 Elit;---;J20 Elit;1500;0;0;37500;72;225;5874;PEAB Arena;PEAB Arena;Black;Red 1;White;Black;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
973;IF Troja-Ljungby J20;Troja-Ljungby J20;---;IFTL;Sweden;J20 Elit;Swedish Juniors;J20 Elit;1500;0;0;37500;116;225;5693;Sunnerbohov;Sunnerbohov;White;Red 1;Red 1;Red 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
974;Halmstad HF J20;Halmstad Jrs;Hammers Jrs;HHFJr;Sweden;J20 Lower;---;J20 Lower;1000;0;0;37500;250;100;5990;Sannarpshallen;Sannarpshallen;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
975;BIK Karlskoga J18;BIK J18;Bofors;BIK;Sweden;J18 Elit;---;J18 Elit;1796;0;0;37500;810;324;5826;Nobelhallen;Nobelhallen;White;Blue 1;Red 1;Blue 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
976;Mora IK J20;Mora J20;---;MOR;Sweden;J20 SuperElit;---;J20 SuperElit;2000;0;0;36000;225;400;5123;FM Mattsson Arena;FM Mattsson Arena;White;Red 2;Green 1;Red 2;White;Green 1;Black;White;White;---;---;---;---;---;---;---;---;---;
977;Rögle BK J20;Rögle J20;---;RÖG;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;1500;0;0;33750;405;225;5471;Lindab Arena;Lindab Arena;White;Green 1;Red 1;Green 1;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
978;Örebro HK J20;Örebro J20;---;ÖHK;Sweden;J20 SuperElit;---;J20 SuperElit;1500;0;0;27000;73;225;5109;Behrn Arena;Behrn Arena;Red 1;Black;Green 1;Black;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
979;Mörrums GoIS IK J20;Mörrum J20;---;MGIK;Sweden;J20 Lower;---;J20 Lower;1000;0;0;37500;250;100;5757;Jössarinken;Jössarinken;White;Red 1;Blue 1;Blue 1;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
980;IFK Arboga J20;Arboga J20;---;IFKA;Sweden;J20 Lower;---;J20 Lower;1000;0;0;37500;250;100;5594;Sparbanken Arena;Sparbanken Arena;White;Blue 1;Blue 1;Blue 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
981;IK Oskarshamn J20;Oskarshamn J20;---;IKO;Sweden;J20 Elit;---;J20 Elit;1000;0;0;37500;147;100;5251;Arena Oskarshamn;Arena Oskarshamn;Red 1;Blue 1;White;Red 1;White;Blue 1;Black;White;White;---;---;---;---;---;---;Västerviks IK;Vimmerby HC;Kalmar HC;
982;VIK Västerås HK J20;Västerås J20;---;VIK;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;1000;0;0;33750;205;100;5987;ABB Arena Nord;ABB Arena Nord;Yellow 1;Black;Red 2;Black;Yellow 1;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
983;Växjö Lakers Hockey J20;Växjö J20;Lakers;VHC;Sweden;J20 SuperElit;Swedish Juniors;J20 SuperElit;1000;0;0;33750;83;100;5955;Vida Arena;Vida Arena;NHL? Islanders Orange;Blue 1;White;Blue 1;White;NHL? Islanders Orange;Black;White;White;---;---;---;---;---;---;---;---;---;
984;Nybro Vikings IF J20;Nybro J20;---;NIF;Sweden;J20 Lower;---;J20 Lower;1493;0;0;0;562;225;5764;Victoriahallen;Victoriahallen;Black;Red 2;White;Black;White;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
985;Malå IF;Malå;MIF;MIF;Sweden;Second Division;---;Second Division;1500;0;0;0;562;225;5977;Malå Ice Hall;Malå Ice Hall;White;Green 2;Black;Green 2;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
986;Åstorp IK;Åstorp;Grizzlys;ÅST;Sweden;Lower Divisions;---;Lower Divisions;1000;0;0;0;250;100;5610;Åstorp Ishall;Åstorp Ishall;Red 1;Black;Yellow 2;Black;Red 1;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
987;Lenhovda IF;Lenhovda;Lenhovda;LIF;Sweden;Lower Divisions;---;Lower Divisions;1000;0;0;0;150;100;5399;Lenhovda Ice Hall;Lenhovda Ice Hall;White;Blue 2;Blue 2;Black;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
988;Vimmerby HC;Vimmerby;VHC;VHC;Sweden;First Division;---;First Division E;2463;0;0;45000;650;350;1100;Vimmerby Ice Hall;Vimmerby Ice Hall;Yellow 2;Black;Amber;Black;Yellow 2;Amber;Black;White;White;---;---;---;---;---;---;Västerviks IK;IK Oskarshamn;---;
989;Motala AIF;Motala;Motala;MAIF;Sweden;Second Division;First Division;Second Division;1500;0;0;0;562;225;1200;Electroluxhallen;Electroluxhallen;Yellow 1;Black;White;Black;Yellow 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
990;AIK Härnösand J20;Härnösand J20;---;AIKHJr;Sweden;J20 Lower;---;J20 Lower;1000;0;0;37500;250;100;5309;Högslättens ishall;Högslättens ishall;Black;Red 2;White;Black;White;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
991;Arlanda Wings J20;Arlanda J20;---;ARL;Sweden;J20 Lower;---;J20 Lower;1350;0;0;37500;455;182;5937;Pinbackshallen;Pinbackshallen;Black;Black;Yellow 2;Yellow 2;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
992;Överkalix IF J20;Överkalix J20;---;ÖVE;Sweden;J20 Lower;---;J20 Lower;1350;0;0;37500;455;182;5002;Skogshallen;Skogshallen;White;Blue 3;Blue 3;Blue 3;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
993;Älvsby IF J20;Älvsby J20;---;ÄLV;Sweden;J20 Lower;---;J20 Lower;1350;0;0;37500;455;182;5532;Älvakra Ishall;Älvakra Ishall;Green 2;Black;Black;White;Green 2;Green 2;Black;White;White;---;---;---;---;---;---;---;---;---;
994;Åstorp IK J20;Åstorp J20;---;ÅST;Sweden;J20 Lower;---;J20 Lower;1350;0;0;37500;455;182;5003;Åstorp Ishall;Åstorp Ishall;Red 1;Black;Yellow 1;Black;Red 1;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
995;Ånge IK J20;Ånge J20;---;ÅNG;Sweden;J20 Lower;---;J20 Lower;1350;0;0;37500;455;182;5446;Ånge Ishall;Ånge Ishall;Red 1;Black;Yellow 1;Red 1;White;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
996;Västerviks IK J20;Västervik J20;---;VÄS;Sweden;J20 Lower;---;J20 Lower;1350;0;0;37500;87;182;5268;---;---;Blue 1;White;Red 1;White;Blue 1;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
997;Väsby IK J20;Väsby J20;---;VÄS;Sweden;J20 Elit;---;J20 Elit;2696;0;0;37500;70;729;5213;Vilundahallen;Vilundahallen;White;NHL? Green 2;Red 1;NHL? Green 2;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
998;Värmdö HC J20;Värmdö J20;---;VÄR;Sweden;J20 Lower;---;J20 Lower;1350;0;0;37500;455;182;5312;Värmdö Ice Hall;Värmdö Ice Hall;Blue 4;Red 2;White;Red 2;Blue 4;White;Black;White;White;---;---;---;---;---;---;---;---;---;
999;Vännäs HC J20;Vännäs J20;---;VÄN;Sweden;J20 Lower;---;J20 Lower;1350;0;0;37500;455;182;5372;Vännäs Ice Hall;Vännäs Ice Hall;Yellow 1;Black;White;Black;Yellow 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1000;Vimmerby Hockey J20;Vimmerby J20;---;VIM;Sweden;J20 Lower;---;J20 Lower;1348;0;0;37500;455;182;5092;Vimmerby Ice Hall;Vimmerby Ice Hall;Yellow 2;Black;Amber;Black;Yellow 2;Amber;Black;White;White;---;---;---;---;---;---;---;---;---;
1001;Malungs IF;Malung;MIF;MIF;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5850;---;---;Green 2;White;Yellow 2;White;Green 2;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
1002;Fagersta AIK;Fagersta;FAIK;FAIK;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5766;Fagersta Ice Hall;Fagersta Ice Hall;Yellow 2;Black;White;Black;Yellow 2;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1003;Alfta GIF;Alfta;AGIF;AGIF;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5235;---;---;Gold;Green 2;White;Green 2;Gold;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1004;Söderhamn/Ljusne HC;Söderhamn;SHC;SHC;Sweden;Second Division;First Division;Second Division;1000;0;0;0;250;100;5251;---;---;Blue 5;Black;White;Black;Blue 5;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1005;IF Noretpojkarna;Noretpojkarna;---;NOR;Sweden;Lower Divisions;---;Lower Divisions;1800;0;0;0;810;324;5879;FM Mattsson Arena;FM Mattsson Arena;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1006;Häradsbygdens SS;Häradsbygden;HSS;HSS;Sweden;Lower Divisions;---;Lower Divisions;1800;0;0;0;810;324;5050;Tegera Arena;Tegera Arena;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1007;Gävle GIK;Gävle;---;GGIK;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5389;Gavlerinken Arena;Gavlerinken Arena;Red 1;Orange 1;Black;Orange 1;Red 1;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
1008;Hofors HC;Hofors;HHC;HHC;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5250;Hofors Ice Hall;Hofors Ice Hall;Blue 1;Yellow 1;Red 1;Yellow 1;Blue 1;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
1009;Kvarnsvedens GoIF;Kvarnsveden;Kvarnen;KGOIF;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5075;---;---;Black;Yellow 1;Black;Yellow 1;Black;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
1010;Björbo IF;Björbo;---;BJÖ;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5156;---;---;White;Red 1;Grey 1;Red 1;White;Grey 1;Black;White;White;---;---;---;---;---;---;---;---;---;
1011;Oppala IK;Oppala;OIK;OIK;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5737;Gavlerinken Arena;Gavlerinken Arena;Red 1;Pink;White;Pink;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1012;IFK Strömsund;Strömsund;---;IFKS;Sweden;Lower Divisions;---;Lower Divisions;1800;0;0;0;810;324;5611;Strömsund Ice Hall;Strömsund Ice Hall;Yellow 1;Blue 1;White;Blue 1;Yellow 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1013;Järpens IF;Järpen;---;JIF;Sweden;Lower Divisions;---;Lower Divisions;1800;0;0;0;810;324;5420;Järpen Ice Hall;Järpen Ice Hall;White;Blue 2;Blue 2;Blue 2;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1014;Näldens IF;Nälden;---;NIF;Sweden;Second Division;---;Second Division;1500;0;0;0;118;225;5506;---;---;Blue 2;Yellow 1;White;Yellow 2;Blue 2;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1015;Svenstaviks HK;Svenstavik;SHK;SHK;Sweden;Lower Divisions;---;Lower Divisions;1800;0;0;0;810;324;5920;---;---;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1016;DEL All-Stars;DEL All-Stars;---;DEL;---;---;---;---;1;0;0;30000;250;75;5889;---;---;White;NHL? Black;NHL? Yellow 3;Black;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1017;Alvesta SK;Alvesta;---;ALV;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5209;Virdavallens ishall;Virdavallens ishall;Yellow 1;Black;Red 1;Black;Yellow 1;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
1018;Glimma Hockey;Glimma;GHK;GHK;Sweden;Lower Divisions;---;Lower Divisions;1800;0;0;0;810;324;5482;Glimåkra Ice Hall;Glimåkra Ice Hall;Yellow 1;Black;White;Black;Yellow 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1019;HC Dalen;Dalen;Dalen;HCD;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5516;Norrahammar Ice Hall;Norrahammar Ice Hall;Yellow 1;Black;Red 1;Black;Yellow 1;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
1020;Helsingborg HC;Helsingborg;Redskins;HHC;Sweden;First Division;---;First Division F;1500;0;0;36000;265;225;5055;Olympiarinken;Olympiarinken;NHL? Blue 1;NHL? Red;NHL? Yellow;NHL? Red;White;NHL? Blue 1;Black;White;White;---;---;---;---;---;---;---;---;---;
1021;Hässleholm Hockey;Hässleholm;---;HH;Sweden;Second Division;---;Second Division;1000;0;0;0;250;100;5055;Hässleholm Ice Hall;Hässleholm Ice Hall;Blue 1;Red 2;White;Red 2;Blue 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
1022;Kallinge-Ronneby IF;KRIF;KRIF;KRIF;Sweden;First Division;---;First Division F;1000;0;0;54000;250;100;5938;Ronneby Ice Hall;Ronneby Ice Hall;White;Blue 1;Red 1;Blue 1;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
1023;Kalmar HC;Kalmar;---;KHC;Sweden;Third Division;---;Third Division;500;0;0;0;250;75;5509;Iffehallen;Iffehallen;White;Black;Yellow 1;Black;White;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
1024;Kristianstad IK;Kristianstad;Wild Kings;KIK;Sweden;First Division;---;First Division F;1500;0;0;27000;1037;225;5910;Kristianstads Ishall;Kristianstads Ishall;NHL? Red 3;NHL? Dark Green;NHL? Metallic Gold;NHL? Dark Green;White;NHL? Red 3;Black;White;White;---;---;---;---;---;---;Trelleborg Hockey;Osby IK;IK Pantern;
